Emp ID,0
277509,135
940761,267
428945,407
408351,545
193819,675
499687,823
539712,954
380086,1075
477616,1209
162402,1341
231469,1490
153989,1623
386158,1765
301576,1895
441771,2027
528509,2156
912990,2279
214352,2415
890290,2539
622406,2666
979607,2793
969580,2925
426038,3059
388642,3195
560455,3326
477253,3460
263480,3595
683826,3729
474599,3870
335732,4005
329752,4139
893212,4269
621833,4397
456747,4536
278556,4670
333476,4815
218791,4953
134841,5079
726264,5202
766610,5339
923947,5472
227922,5603
265813,5740
247137,5878
407061,6011
226714,6154
702813,6280
524896,6422
363065,6563
879753,6692
958326,6822
447813,6956
525955,7086
818384,7224
971640,7370
253573,7502
904898,7633
515103,7768
491943,7899
750173,8035
687017,8178
241882,8312
758872,8440
940922,8580
917937,8718
917395,8843
183071,8988
316110,9118
293459,9262
732017,9404
915638,9548
478003,9688
951225,9826
883936,9961
528673,10097
765850,10226
262382,10353
870820,10492
806955,10640
325319,10792
623253,10925
225925,11058
761821,11190
400173,11340
802554,11484
476433,11631
533952,11773
623929,11896
844177,12033
212893,12168
185032,12315
867084,12449
969964,12582
158666,12714
489424,12851
639892,12986
704709,13110
461593,13246
392491,13370
495141,13510
123,13639
124,13714
125,13808
126,13909
127,13987
128,14050
